cell_AcrAB-TolC,cell_antibiotic,cell_AcrAB-TolC_RNA,cell_porin,environment_antibiotic,global_volume,global_growth_rate,global_dead,global_mass,cell_counts_AcrAB-TolC,cell_counts_antibiotic,cell_counts_AcrAB-TolC_RNA,cell_counts_porin,time
0.8964948859342233,0.11174722314729965,0.001,1.0,0.9999999999814663,2.343479926023834,0.00028876962325726516,0.0,2577.8279186262175,1264836.0,157660.0,1410.0,1410869.0,2268.0
0.8965983910482891,0.11178157247503501,0.001,1.0,0.9999999999814582,2.344156847313489,0.00028876962325731444,0.0,2578.5725320448378,1265348.0,157754.0,1411.0,1411276.0,2269.0
0.8967017926572408,0.11181591125763146,0.001,1.0,0.9999999999814501,2.3448339641339127,0.000288769623257252,0.0,2579.317360547304,1265859.0,157848.0,1411.0,1411684.0,2270.0
0.8968050908645836,0.11185023949960017,0.001,1.0,0.999999999981442,2.345511276541585,0.00028876962325717463,0.0,2580.0624041957435,1266371.0,157942.0,1412.0,1412092.0,2271.0
0.8969082857737191,0.11188455720545085,0.001,1.0,0.9999999999814339,2.3461887845930023,0.0002887696232571769,0.0,2580.8076630523024,1266882.0,158036.0,1412.0,1412499.0,2272.0
0.8970113774879453,0.1119188643796918,0.001,1.0,0.9999999999814257,2.346866488344676,0.00028876962325717517,0.0,2581.553137179144,1267394.0,158131.0,1412.0,1412907.0,2273.0
0.8971143661104574,0.11195316102682991,0.001,1.0,0.9999999999814176,2.3475443878531363,0.00028876962325725996,0.0,2582.29882663845,1267906.0,158225.0,1413.0,1413316.0,2274.0
0.8972172517443469,0.11198744715137064,0.001,1.0,0.9999999999814095,2.348222483174927,0.00028876962325716764,0.0,2583.0447314924195,1268417.0,158319.0,1413.0,1413724.0,2275.0
0.8973200344926026,0.11202172275781803,0.001,1.0,0.9999999999814014,2.348900774366609,0.00028876962325716075,0.0,2583.79085180327,1268929.0,158413.0,1414.0,1414132.0,2276.0
0.89742271445811,0.11205598785067471,0.001,1.0,0.9999999999813933,2.3495792614847613,0.00028876962325732365,0.0,2584.5371876332374,1269441.0,158507.0,1414.0,1414541.0,2277.0
0.8975252917436518,0.11209024243444182,0.001,1.0,0.9999999999813852,2.3502579445859766,0.00028876962325721095,0.0,2585.2837390445743,1269953.0,158602.0,1414.0,1414949.0,2278.0
0.8976277664519081,0.11212448651361914,0.001,1.0,0.9999999999813771,2.3509368237268657,0.0002887696232572549,0.0,2586.0305060995524,1270465.0,158696.0,1415.0,1415358.0,2279.0
0.8977301386854563,0.11215872009270499,0.001,1.0,0.999999999981369,2.3516158989640554,0.00028876962325718216,0.0,2586.777488860461,1270976.0,158790.0,1415.0,1415767.0,2280.0
0.8978324085467708,0.11219294317619624,0.001,1.0,0.999999999981361,2.3522951703541883,0.00028876962325724483,0.0,2587.524687389607,1271488.0,158884.0,1416.0,1416176.0,2281.0
0.897934576138224,0.11222715576858837,0.001,1.0,0.999999999981353,2.352974637953924,0.0002887696232571657,0.0,2588.2721017493163,1272000.0,158979.0,1416.0,1416585.0,2282.0
0.8980366415620858,0.11226135787437537,0.001,1.0,0.999999999981345,2.353654301819938,0.00028876962325719274,0.0,2589.019732001932,1272512.0,159073.0,1416.0,1416994.0,2283.0
0.8981386049205238,0.11229554949804982,0.001,1.0,0.999999999981337,2.354334162008923,0.0002887696232572205,0.0,2589.7675782098154,1273025.0,159168.0,1417.0,1417403.0,2284.0
0.8982404663156033,0.11232973064410286,0.001,1.0,0.999999999981329,2.3550142185775873,0.00028876962325731715,0.0,2590.515640435346,1273537.0,159262.0,1417.0,1417813.0,2285.0
0.8983422258492877,0.11236390131702417,0.001,1.0,0.999999999981321,2.3556944715826553,0.0002887696232571979,0.0,2591.263918740921,1274049.0,159357.0,1418.0,1418222.0,2286.0
0.8984438836234384,0.11239806152130202,0.001,1.0,0.9999999999813131,2.3563749210808687,0.0002887696232572778,0.0,2592.0124131889556,1274561.0,159451.0,1418.0,1418632.0,2287.0
0.8985454397398149,0.11243221126142319,0.001,1.0,0.9999999999813051,2.357055567128985,0.0002887696232572681,0.0,2592.7611238418835,1275073.0,159546.0,1419.0,1419042.0,2288.0
0.8986468943000752,0.11246635054187305,0.001,1.0,0.9999999999812971,2.357736409783778,0.00028876962325722895,0.0,2593.510050762156,1275586.0,159640.0,1419.0,1419452.0,2289.0
0.8987482474057751,0.11250047936713549,0.001,1.0,0.9999999999812891,2.3584174491020384,0.0002887696232572184,0.0,2594.2591940122425,1276098.0,159735.0,1419.0,1419862.0,2290.0
0.8988494991583693,0.11253459774169297,0.001,1.0,0.9999999999812811,2.3590986851405735,0.00028876962325729243,0.0,2595.0085536546308,1276610.0,159829.0,1420.0,1420272.0,2291.0
0.8989506496592109,0.11256870567002648,0.001,1.0,0.9999999999812731,2.3597801179562055,0.00028876962325715473,0.0,2595.758129751826,1277123.0,159924.0,1420.0,1420682.0,2292.0
0.8990516990095517,0.11260280315661557,0.001,1.0,0.9999999999812651,2.3604617476057745,0.0002887696232572076,0.0,2596.507922366352,1277635.0,160019.0,1421.0,1421092.0,2293.0
0.8991526473105422,0.11263689020593833,0.001,1.0,0.9999999999812571,2.3611435741461366,0.00028876962325715067,0.0,2597.2579315607504,1278148.0,160113.0,1421.0,1421503.0,2294.0
